country,region,us_tariff_baseline_pct,us_tariff_peak_pct_2025,current_us_tariff_pct_2026,retaliation_tariff_pct,framework_status,framework_date,trade_status,trade_disruption_score,key_sectors_affected,notes,as_of_date
China,East Asia,10,145,10,125,Tariff Truce,2025-05-12,Negotiating,9.5,Semiconductors; EVs; Steel; Rare Earths; Consumer Goods,US-China imposed 145% tariffs April 2025; reduced to 10% under 90-day truce May 2025 extended through Nov 2026; SCOTUS struck IEEPA tariffs Feb 2026; Section 301 investigations relaunched March 2026,2026-03-31
European Union,Europe,10,30,10,0,Framework Agreement,2025-07-01,Framework Talks,8.0,Steel; Aluminum; Automobiles; Digital Services; Chemicals,20% tariff from April 2025; steel/aluminum raised to 50% from June 2025; 30% tariff announced July 2025 under Turnberry system; EU prepared EUR 93B countermeasures,2026-03-31
United Kingdom,Europe,10,25,10,0,Framework Agreement,2025-06-15,Agreement,4.5,Automobiles; Lumber; Steel,UK secured preferential 10% cap under bilateral framework; auto and timber got special rates,2026-03-31
Canada,North America,10,25,10,25,Ongoing Negotiations,N/A,Negotiating,7.5,Automobiles; Steel; Aluminum; Agriculture; Lumber,IEEPA tariffs struck down Feb 2026; Canada imposed counter-tariffs; USMCA provisions contested,2026-03-31
Mexico,North America,10,25,10,15,Ongoing Negotiations,N/A,Negotiating,7.0,Automobiles; Steel; Agriculture; Electronics,IEEPA tariffs struck down Feb 2026; significant auto supply chain disruption; ongoing USMCA renegotiation,2026-03-31
Japan,East Asia,10,24,10,0,Framework Agreement,2025-08-01,Agreement,4.0,Automobiles; Semiconductors; Steel,Framework agreement secured preferential auto tariff rates; Japan agreed to increase US LNG and agricultural imports,2026-03-31
South Korea,East Asia,10,25,10,0,Framework Agreement,2025-07-20,Agreement,4.5,Automobiles; Steel; Semiconductors,Framework deal with preferential auto rates; Samsung and SK Hynix chip plants in US offset tariff pressure,2026-03-31
India,South Asia,10,26,10,0,No Agreement,N/A,Tense,6.0,Pharmaceuticals; Textiles; IT Services; Steel,Diplomatic rift over tariffs; India did not retaliate but stalled US goods; EU-India talks accelerating as alternative,2026-03-31
Vietnam,Southeast Asia,10,46,10,0,Section 301 Investigation,2026-03-11,Under Review,6.5,Electronics; Textiles; Footwear; Furniture,New Section 301 investigation launched March 2026 targeting excess capacity; major supply chain shift from China,2026-03-31
Taiwan,East Asia,10,32,10,0,Section 301 Investigation,2026-03-11,Under Review,6.0,Semiconductors; Electronics; Machinery,Section 301 investigation launched March 2026; TSMC US Arizona plant reduces tariff exposure,2026-03-31
Indonesia,Southeast Asia,10,32,10,0,Section 301 Investigation,2026-03-11,Under Review,5.5,Coal; Palm Oil; Textiles; Electronics,Section 301 investigation launched March 2026; EU-Indonesia trade deal signed 2025,2026-03-31
Malaysia,Southeast Asia,10,24,10,0,Section 301 Investigation,2026-03-11,Under Review,5.0,Semiconductors; Palm Oil; Electronics,Benefited from China supply chain diversion; now targeted by Section 301,2026-03-31
Cambodia,Southeast Asia,10,49,10,0,Section 301 Investigation,2026-03-11,Under Review,6.0,Textiles; Footwear; Apparel,High tariff exposure due to garment exports; Section 301 investigation 2026,2026-03-31
Thailand,Southeast Asia,10,36,10,0,Section 301 Investigation,2026-03-11,Under Review,5.5,Automobiles; Electronics; Rubber; Seafood,Section 301 investigation 2026; major regional auto hub; beneficiary of China+1 supply chains,2026-03-31
Singapore,Southeast Asia,10,10,10,0,Section 301 Investigation,2026-03-11,Stable,3.5,Electronics; Chemicals; Pharmaceuticals,Low tariff impact; Section 301 investigation for re-export concerns; key financial hub,2026-03-31
Switzerland,Europe,10,31,10,0,Framework Agreement,2025-07-15,Agreement,3.0,Pharmaceuticals; Watches; Machinery,Framework deal secured; pharmaceuticals exempted; watch tariff capped at 10%,2026-03-31
Norway,Europe,10,15,10,0,Section 301 Investigation,2026-03-11,Under Review,3.5,Seafood; Oil; Shipping,Section 301 investigation 2026; NATO ally with low political risk,2026-03-31
Brazil,Latin America,10,10,10,0,No Agreement,N/A,Stable,3.5,Steel; Agriculture; Iron Ore,Low baseline tariff; potential beneficiary of trade diversion in agriculture,2026-03-31
Argentina,Latin America,10,10,10,0,No Agreement,N/A,Stable,3.0,Soybeans; Beef; Lithium,Low tariff impact; Milei government aligned with Trump reducing political friction,2026-03-31
Saudi Arabia,Middle East,10,10,10,0,No Agreement,N/A,Stable,2.5,Petrochemicals; Plastics,Low tariff impact; strategic oil relationship protects trade status,2026-03-31
United Arab Emirates,Middle East,10,10,10,0,No Agreement,N/A,Stable,2.0,Petroleum; Financial Services; Aluminum,Minimal tariff exposure; growing hub for Chinese re-exports raising scrutiny,2026-03-31
Russia,Eastern Europe,25,35,35,0,Sanctions Only,N/A,Sanctioned,9.0,Energy; Metals; Fertilizers; Grain,Subject to broad sanctions regime; trade war context secondary to geopolitical isolation,2026-03-31
South Africa,Africa,10,10,10,0,No Agreement,N/A,Stable,3.0,Platinum; Gold; Automobiles; Chrome,AGOA status under review; critical minerals relationship growing,2026-03-31
Australia,Oceania,10,10,10,0,No Agreement,N/A,Stable,2.0,Iron Ore; LNG; Agriculture; Gold,AUKUS alliance partner; no significant tariff escalation; strategic minerals partner,2026-03-31
New Zealand,Oceania,10,10,10,0,No Agreement,N/A,Stable,2.0,Dairy; Meat; Kiwifruit,Low tariff exposure; Five Eyes intelligence partner,2026-03-31
Pakistan,South Asia,10,29,10,0,No Agreement,N/A,Under Pressure,5.0,Textiles; Apparel; Leather; Rice,High textile tariff exposure; garment sector major employer; IMF program constrains retaliation,2026-03-31
Bangladesh,South Asia,10,37,10,0,No Agreement,N/A,Under Pressure,6.5,Textiles; Apparel; Footwear,Garment sector over 80% of exports; extremely vulnerable to tariff changes; no retaliation capacity,2026-03-31
Sri Lanka,South Asia,10,44,10,0,No Agreement,N/A,Vulnerable,6.0,Apparel; Tea; Rubber; Gems,High tariff rate relative to economy size; recovering from 2022 debt crisis,2026-03-31
Ethiopia,Africa,10,10,10,0,No Agreement,N/A,Stable,3.0,Coffee; Textiles; Cut Flowers,AGOA beneficiary; low tariff impact; infrastructure investments from China a political complication,2026-03-31
Turkey,Europe/Asia,10,10,10,0,No Agreement,N/A,Stable,4.0,Steel; Automobiles; Textiles; Chemicals,NATO member but not EU; steel already under Section 232; complex geopolitical position,2026-03-31
