sector,hs_chapters,us_tariff_on_china_pct,china_tariff_on_us_pct,eu_tariff_on_china_pct,supply_chain_disruption_score,trade_diversion_risk_level,sector_disruption_index,key_affected_countries,key_event_2025_26,analysis_notes,as_of_date
Rare Earth & Permanent Magnets,28; 85,25.0,0,10,10.0,Critical,9.8,China; USA; Japan; South Korea; Germany; France,China export ban April 2025,China cut rare earth magnet exports to near zero in May 2025 following Trump tariff escalation; US auto industry near shutdown; Ford CEO declared hand-to-mouth supply; global auto production paused,2026-03-31
Semiconductors & Chips,85,50.0,25,20,9.5,Critical,9.5,China; Taiwan; South Korea; USA; Netherlands; Japan,US chip export controls + Section 301 2026,100% tariff on certain Chinese semiconductors; US-Netherlands coordination on ASML export controls; Taiwan TSMC Arizona plant partially offsets; China domestic chip push (SMIC),2026-03-31
Electric Vehicles (EVs),87,100.0,25,45,9.0,Critical,9.3,China; USA; EU; Germany; South Korea,EU imposed 45% EV tariff on China October 2024,US 100% tariff on Chinese EVs; EU 45% tariff; BYD and other Chinese OEMs pivoting to Latin America and Southeast Asia; EU domestic EV market under price pressure,2026-03-31
Steel & Aluminum,72; 76,25.0,25,25,8.5,High,8.8,China; USA; EU; Canada; Mexico; Brazil; Turkey,US steel tariff raised to 50% June 2025,"Section 232 steel tariffs raised from 25% to 50% on June 4, 2025; EU exemption negotiations failed; Canada and Mexico hit hardest; global steel overcapacity worsened by Chinese diversion",2026-03-31
Automobiles & Parts,87,27.5,25,10,9.0,High,9.0,Japan; Germany; South Korea; Mexico; Canada; USA,Section 232 auto tariff + USMCA disruption,25% Section 232 auto tariffs; parts tariffs under inclusions process April 2026; USMCA supply chains disrupted; Mexico maquiladoras under pressure; Japanese and Korean OEMs accelerated US FDI,2026-03-31
Consumer Electronics,85; 84,10.0,25,10,8.0,High,8.5,China; Vietnam; USA; Taiwan; South Korea,Apple 25% tariff threat; Vietnam Section 301,25% tariff threat on Apple for not sourcing from US; Apple accelerated India manufacturing; Vietnam electronics surge before Section 301 investigation,2026-03-31
Solar Panels & Cells,85,50.0,10,50,8.5,High,8.7,China; USA; EU; Vietnam; Malaysia; Cambodia,US 50% tariff on solar cells 2026,50% tariff on solar cells from January 2026; Chinese firms transshipping through ASEAN; US Inflation Reduction Act domestic content pushing US production; EU CBAM affecting imports,2026-03-31
Agricultural Products (Soybeans),12,0.0,25,0,8.0,High,8.2,USA; China; Brazil; Argentina,China 25% tariff on US soybeans,China imposed 25% tariff on US soybeans; Brazil captured majority of Chinese market; US soybean farmers lost estimated $8B in annual revenue; China now sources 65% from Brazil,2026-03-31
Pharmaceuticals,30,0.0,0,0,5.0,Medium,5.5,India; Switzerland; EU; USA; China,Tariff exemptions largely preserved,Pharmaceuticals largely exempt from tariffs due to supply chain criticality; India pharma exports preserved; potential future Section 232 investigation signaled,2026-03-31
LNG & Energy,27,0.0,25,0,6.0,High,6.5,USA; China; Qatar; Australia; EU,China 25% tariff on US LNG,China 25% tariff on US LNG; shifted to Australian and Qatari supply; US LNG producers redirected to EU as Russia gas sanctions continue; EU became key US LNG buyer,2026-03-31
Ship-to-Shore Cranes,84,100.0,0,0,7.5,High,7.8,China; USA,Section 301 100% crane tariff October 2025,100% ad valorem tariff on Chinese ship-to-shore cranes from October 2025; ZPMC dominates 80% of global market; US port modernization severely impacted; no short-term alternative supplier,2026-03-31
Maritime Shipping,Service,50.0,0,0,8.0,High,8.0,China; USA; Singapore; South Korea; Japan,Section 301 Chinese ship fees April 2025,Section 301 fees on Chinese ship deliveries from October 2025 at $50/net ton; China threatened retaliation; global container shipping costs rose; Maersk and MSC rerouting,2026-03-31
Lithium & Battery Minerals,26; 28,25.0,0,10,8.5,Critical,8.6,China; USA; Chile; Argentina; Australia; DRC,US critical minerals initiative 2026,US launched critical minerals ministerial 2026; China dominates lithium processing (60%+); US tariffs on Chinese batteries at 25-100%; Australia and Chile alternatives being developed,2026-03-31
Textiles & Apparel,61; 62; 63,30.0,25,20,7.5,High,7.8,China; Bangladesh; Vietnam; Pakistan; Cambodia; USA,Furniture tariff 50% January 2026,Upholstered furniture tariff 30% Jan 2026; cabinets 50%; Bangladesh and Pakistan garment sectors severely exposed; Vietnam surge under pressure from Section 301,2026-03-31
Aircraft & Aerospace,88,0.0,25,0,5.5,Medium,5.8,USA; EU; China,China 25% tariff on US aircraft,China counter-tariff on Boeing aircraft; Airbus benefiting; Boeing already under production pressure; China accelerating COMAC C919 but lacks scale,2026-03-31
Luxury Goods & Watches,91; 42,10.0,25,5,4.0,Medium,4.5,Switzerland; France; Italy; USA; China,Swiss framework deal capped at 10%,Swiss luxury watch tariff capped at 10% under framework deal; French luxury exports moderately hit; Chinese consumer luxury spending shifting domestically,2026-03-31
Timber & Lumber,44,14.5,0,0,6.5,Medium,6.5,Canada; USA; EU,US lumber tariffs on Canada,Pre-existing lumber tariffs plus IEEPA tariffs on Canada until Feb 2026 SCOTUS ruling; US housing sector cost increase estimated 3-5%; Canada lumber sector hit but partially offset by EU demand,2026-03-31
Copper & Critical Metals,74,10.0,10,5,6.0,Medium,6.3,Chile; Peru; China; USA; DRC; Zambia,Section 232 copper investigation 2026,US launched Section 232 semi-finished copper tariff process; Chile and Peru key alternative suppliers; China dominates copper smelting; supply chain restructuring underway,2026-03-31
Medical Devices,90,0.0,0,0,3.5,Low,3.8,USA; China; EU; Japan,Tariff exclusions preserved for medical goods,Medical devices largely excluded from tariffs; 178 Chinese products got exclusion extensions through Dec 2026; pandemic supply chain lessons drove exemption policy,2026-03-31
Natural Graphite & Anodes,25; 38,25.0,0,5,9.0,Critical,9.2,China; USA; Japan; South Korea; EU,China graphite export controls 2023-2025,China dominates 90%+ of natural graphite supply; export controls from 2023 extended; battery anode supply critical for EV industry; no viable short-term alternative,2026-03-31
