date,event_type,initiating_country,affected_countries,tariff_rate_pct,products_affected,estimated_trade_value_covered_bn_usd,legal_authority,current_status,impact_level,description
2025-01-20,Executive Order,USA,Global,Varies,All imports,3000+,Presidential EO,Active,Critical,Trump signs EO directing cabinet to develop trade reports and tariff recommendations; America First Trade Policy memorandum issued
2025-02-01,Tariff Imposition,USA,China,10,All goods (fentanyl-related IEEPA),500+,IEEPA,Superseded Feb 2026,High,Trump imposes 10% IEEPA tariff on all Chinese goods citing fentanyl trafficking national emergency
2025-02-01,Tariff Imposition,USA,Canada; Mexico,25,All goods except Canadian energy (10%),800+,IEEPA,Superseded Feb 2026,Critical,25% IEEPA tariffs on Canada and Mexico citing illegal immigration national emergency; Canadian energy at 10%; immediate market shock
2025-03-04,Tariff Escalation,USA,China,20,All goods (additional fentanyl IEEPA),500+,IEEPA,Superseded Feb 2026,High,Additional 10% IEEPA tariff on China bringing total fentanyl tariff to 20%; cumulative pressure on Chinese goods
2025-04-02,Tariff Imposition,USA,60+ Countries,10-41,All imports from all countries,3500+,IEEPA,Superseded Feb 2026,Critical,Liberation Day tariffs announced; baseline 10% on all countries; country-specific rates from 10% to 41%; highest average US tariff rate since 1933 per Yale Budget Lab
2025-04-04,Retaliation + Export Controls,China,Global,0,Rare earth permanent magnets,45+,Export Control Law,Active,Critical,China restricts rare earth permanent magnet exports to the world; US auto industry enters crisis; Ford CEO warns of hand-to-mouth supply; monthly US magnet imports fall to near zero by May
2025-04-09,Tariff Escalation,USA,China,145,All goods,600+,IEEPA,Partially Superseded,Critical,US-China tariffs escalate to 145% on Chinese goods in tit-for-tat escalation; US imports from China begin historic collapse; China imposes 125% on US goods
2025-04-09,Section 301 Fees,USA,China,Various,Chinese maritime shipping (per net ton fees),200+,Section 301,Active,High,"EO signed imposing Section 301 fees on Chinese vessel deliveries; $50/net ton starting October 14, 2025; China threatens retaliation on shipping"
2025-05-12,Tariff Truce,USA; China,USA; China,10,All goods under April IEEPA tariffs,1000+,Bilateral Agreement,Active (extended Nov 2026),Critical,US-China 90-day tariff truce; IEEPA tariffs reduced from 125%/145% to 10% each; other tariffs remain (Section 301 at $77B); US imports from China partially recover
2025-06-04,Tariff Escalation,USA,European Union,50,Steel and aluminum,120+,Section 232,Active,High,US raises steel and aluminum tariffs on EU from 25% to 50%; EU steel exports severely hit; EU Commissioner warns of supply chain disruption
2025-06-15,Framework Agreement,USA; UK,USA; UK,10,Automobiles; Lumber; Agricultural products,80+,Bilateral,Active,Medium,US-UK bilateral framework agreement caps UK tariffs at 10%; auto and timber get preferential rates; UK agrees to purchase more US LNG and agricultural products
2025-07-12,Tariff Threat,USA,European Union,30,All EU goods,500+,IEEPA,Partially Superseded,Critical,"Trump announces 30% tariffs on EU goods effective August 1, 2025; Von der Leyen announces EUR 93B countermeasure list; signals end of negotiation period"
2025-07-15,Framework Agreement,USA; Switzerland,USA; Switzerland,10,Pharmaceuticals; Watches; Machinery,40+,Bilateral,Active,Low,US-Switzerland framework deal caps tariffs at 10%; pharmaceutical exports preserved; luxury watch tariff negotiated
2025-07-20,Framework Agreement,USA; South Korea,USA; South Korea,10,Automobiles; Semiconductors; Steel,80+,Bilateral,Active,Medium,Framework deal with South Korea; preferential auto tariff rates; Samsung and SK Hynix US investments cited; South Korea agrees to buy more US LNG
2025-08-01,Framework Agreement,USA; Japan,USA; Japan,10,Automobiles; Steel; Agriculture,100+,Bilateral,Active,Medium,US-Japan bilateral framework agreement; auto tariff caps; Japan agrees to increase US LNG and agricultural imports; Turnberry system framework
2025-08-07,Tariff Imposition,USA,60+ Countries,15-41,All imports (new Turnberry system),3500+,Mixed authorities,Active,Critical,US activates sweeping new duties on 60+ nations; Turnberry system established; highest US tariff rate since 1933; WTO protests; major partners including EU and India react
2025-08-11,Tariff Truce Extension,USA; China,USA; China,10,All goods under truce,1000+,Bilateral,Active (extended Nov 2026),High,US-China extend 90-day tariff truce by another 90 days; trade negotiations ongoing; structural Section 301 tariffs remain at $77B
2025-10-14,Section 301 Fee,USA,China,50,Chinese maritime vessels (per net ton),150+,Section 301,Active,High,Section 301 fees on Chinese ship deliveries take effect at $50/net ton; COSCO and other Chinese shippers significantly affected; global shipping costs rise
2025-10-15,Section 301 Tariff,USA,China,100,Ship-to-shore cranes,10+,Section 301,Active,High,100% ad valorem tariff on Chinese ship-to-shore cranes and maritime cargo equipment; ZPMC dominates 80% of global market; US port modernization severely impacted
2025-11-14,Tariff Truce Extension,USA; China,USA; China,10,All goods under truce,1000+,Bilateral,Active (through Nov 2026),High,"US-China reach agreement to extend tariff reduction for one year through November 10, 2026; broader trade deal framework under negotiation"
2025-11-26,Exclusion Extension,USA,China,0,178 specific Chinese products,30+,Section 301,Active (through Dec 2026),Medium,"USTR extends tariff exclusions on 178 Chinese products through end of 2026; covers solar equipment, medical devices, industrial materials; China confirms parallel exclusion process"
2026-01-01,Tariff Rate Change,USA,China,30,Upholstered furniture,5+,Section 301,Paused until Jan 2027,Medium,"Furniture tariff rate increase scheduled to 30% for upholstered furniture; kitchen cabinets to 50%; Trump pauses increases until January 2027 on December 31, 2025"
2026-02-20,Supreme Court Ruling,USA,Global,0,All IEEPA tariffs,3000+,Judicial,Struck Down,Critical,US Supreme Court rules IEEPA does not authorize presidential tariff imposition; all IEEPA tariffs struck down; estimated $200B+ in tariffs invalidated; Trump vows replacement tariffs; importer refund status unresolved
2026-02-24,New Global Tariff,USA,Global,10,All imports (non-IEEPA statute),3000+,Section 122,Active (150 days),Critical,"Trump announces temporary 10% global tariff under separate statute starting February 24, 2026; requires Congressional approval to extend beyond 150 days; rate to rise to 15%; replaces IEEPA tariff gap"
2026-03-11,Section 301 Investigation,USA,China; EU; Vietnam; Taiwan; Singapore; Switzerland; Norway; Indonesia; Malaysia; Cambodia; Thailand; Korea,TBD,All goods - structural excess capacity and forced labor,2000+,Section 301,Investigating,Critical,USTR launches two Section 301 investigations into excess capacity and forced labor practices; targets China and 12 other economies; hearings scheduled April-May 2026; new tariffs likely if violations found
2026-03-27,Counter-Investigation,China,USA,TBD,US trade measures affecting green products and supply chains,500+,China Foreign Trade Law,Investigating,High,China MOFCOM launches two counter-investigations into US trade practices; direct retaliation to US Section 301 investigations; potential new tariff round; Trump-Xi meeting rescheduled mid-May as potential de-escalation
2026-03-31,Current Status,Global,Global,Varies,Multiple sectors and countries,5000+,Multiple,Evolving,Critical,Global tariff landscape: US baseline 10% global tariff active; Section 301 China tariffs $77B active; US-China truce at 10% through Nov 2026; 12 bilateral framework deals in place; new Section 301 investigations launched; WTO 2026 trade growth forecast cut to 1.8%
