exporter,importer,trade_value_2024_bn_usd,trade_value_2025_bn_usd,pct_change_yoy,flow_type,trade_diversion_destination,primary_products,notes,as_of_date
China,United States,437.0,218.0,-50.1,Exports,ASEAN; EU; Latin America,Electronics; Machinery; Apparel; Chemicals,US imports from China fell ~50% by June 2025; deepest since 2009 financial crisis; Section 301 tariffs + IEEPA tariffs drove collapse,2026-01-31
United States,China,143.5,97.0,-32.4,Exports,None significant,Agriculture; Aircraft; Semiconductors; LNG,Chinese counter-tariffs reduced US agricultural and technology exports; China pivoted to Brazilian soybeans and Australian LNG,2026-01-31
China,European Union,512.0,563.2,10.0,Exports,EU absorbing China trade diverted from US,Machinery; Electronics; EVs; Steel; Textiles,Chinese exports to EU rose ~10% April-Dec 2025; diversion effects concentrated in ~5% of highly exposed products; EU launched anti-dumping investigations on EVs,2026-01-31
European Union,United States,502.0,445.0,-11.3,Exports,None significant,Machinery; Automobiles; Pharmaceuticals; Chemicals,EU exports hit by 20% baseline tariff from April 2025 rising to 30% by August; steel/aluminum at 50%; auto sector hardest hit,2026-01-31
United States,European Union,370.0,352.0,-4.9,Exports,None significant,LNG; Pharmaceuticals; Aircraft; Digital Services,EU counter-tariff threat on EUR 93B US goods restrained; Turnberry framework deal partially stabilized flows,2026-01-31
China,ASEAN,620.0,695.0,12.1,Exports,ASEAN key diversion hub,Intermediate Goods; Electronics; Steel; Chemicals,China pivoted aggressively to ASEAN markets; Vietnam and Malaysia absorbed large intermediate goods flows; raises transshipment scrutiny,2026-01-31
ASEAN,United States,430.0,478.0,11.2,Exports,Benefiting from China diversion,Electronics; Textiles; Footwear; Furniture,ASEAN became major winner from US-China decoupling; Vietnam electronics exports surged; now targeted by Section 301 March 2026,2026-01-31
China,Latin America,185.0,214.0,15.7,Exports,Growing alternative to US market,EVs; Steel; Consumer Electronics; Machinery,Chinese firms pivoted to Latin America; BYD EVs surged in Brazil and Mexico; China-Brazil bilateral trade hit record,2026-01-31
China,Africa,162.0,180.0,11.1,Exports,Long-term strategic market,Infrastructure; Machinery; Steel; Consumer Goods,BRI-linked trade sustained; Chinese exports to Africa rose as US market shrank; critical minerals imports from Africa increased,2026-01-31
Japan,United States,138.0,129.0,-6.5,Exports,None significant,Automobiles; Machinery; Electronics,Japanese auto exports hit by tariffs; framework deal capped further increases; Toyota and Honda accelerated US manufacturing investments,2026-01-31
South Korea,United States,115.0,107.0,-7.0,Exports,None significant,Semiconductors; Automobiles; Steel; Electronics,Framework deal stabilized but Samsung and SK Hynix US chip plants changed supply chain economics,2026-01-31
Canada,United States,436.0,398.0,-8.7,Exports,None significant,Automobiles; Energy; Lumber; Agriculture,USMCA auto supply chains severely disrupted; lumber tariffs hit housing sector; Canadian retaliation targeted US agricultural states,2026-01-31
Mexico,United States,475.0,448.0,-5.7,Exports,None significant,Automobiles; Electronics; Agriculture; Steel,Auto supply chain disruption; maquiladora sector under pressure; nearshoring trend partially offset tariff impact,2026-01-31
United States,Canada,310.0,296.0,-4.5,Exports,None significant,Machinery; Energy Equipment; Agriculture,Canadian counter-tariffs hit US consumer goods and agricultural products,2026-01-31
United States,Mexico,325.0,310.0,-4.6,Exports,None significant,Machinery; Electronics; Agriculture; Chemicals,USMCA renegotiation uncertainty deterred investment; maquiladora disruption affected US intermediate goods exports,2026-01-31
India,United States,87.0,82.0,-5.7,Exports,Slowly pivoting to EU,Pharmaceuticals; IT Services; Textiles; Jewelry,India neither retaliated nor agreed framework deal; diplomatic chill; pharmaceutical tariff exemptions partially preserved flows,2026-01-31
Vietnam,United States,114.0,128.0,12.3,Exports,Benefiting from China diversion before Section 301,Electronics; Textiles; Footwear; Furniture,Vietnam surged as manufacturing alternative to China; now under Section 301 investigation from March 2026,2026-01-31
China,Russia,124.0,108.0,-12.9,Exports,Rerouting to other markets,Automobiles; Machinery; Consumer Goods,China-Russia trade fell for first time in 5 years; Russian demand for Chinese cars dropped; value of Russian crude oil imports fell,2026-01-31
United Kingdom,United States,68.0,66.0,-2.9,Exports,None significant,Automobiles; Pharmaceuticals; Machinery; Financial Services,UK secured framework deal with 10% tariff cap; relatively sheltered compared to EU,2026-01-31
Brazil,China,137.0,155.0,13.1,Exports,China replacing US agricultural demand,Soybeans; Iron Ore; Oil; Beef,Brazil became key alternative soybean supplier as China cut US agricultural imports; record bilateral trade,2026-01-31
